student_id,building_id,room_number,assigned_at,_ingested_at
1,1,101,2026-07-05T09:15:00Z,2026-08-12T00:00:00Z
2,1,101,2026-07-08T10:45:00Z,2026-08-12T00:00:00Z
3,1,102,2026-07-11T11:15:00Z,2026-08-12T00:00:00Z
4,1,102,2026-07-14T12:45:00Z,2026-08-12T00:00:00Z
5,1,102,2026-07-17T13:15:00Z,2026-08-12T00:00:00Z
6,1,103,2026-07-20T14:45:00Z,2026-08-12T00:00:00Z
7,1,103,2026-07-23T15:15:00Z,2026-08-12T00:00:00Z
8,1,104,2026-07-26T16:45:00Z,2026-08-12T00:00:00Z
9,1,104,2026-07-29T08:15:00Z,2026-08-12T00:00:00Z
10,1,104,2026-08-01T09:45:00Z,2026-08-12T00:00:00Z
11,1,105,2026-08-04T10:15:00Z,2026-08-12T00:00:00Z
12,1,105,2026-08-07T11:45:00Z,2026-08-12T00:00:00Z
13,1,106,2026-07-01T12:15:00Z,2026-08-12T00:00:00Z
14,1,106,2026-07-04T13:45:00Z,2026-08-12T00:00:00Z
15,1,106,2026-07-07T14:15:00Z,2026-08-12T00:00:00Z
16,1,107,2026-07-10T15:45:00Z,2026-08-12T00:00:00Z
17,1,107,2026-07-13T16:15:00Z,2026-08-12T00:00:00Z
18,1,108,2026-07-16T08:45:00Z,2026-08-12T00:00:00Z
19,1,108,2026-07-19T09:15:00Z,2026-08-12T00:00:00Z
20,1,108,2026-07-22T10:45:00Z,2026-08-12T00:00:00Z
21,1,109,2026-07-25T11:15:00Z,2026-08-12T00:00:00Z
22,1,109,2026-07-28T12:45:00Z,2026-08-12T00:00:00Z
23,1,110,2026-07-31T13:15:00Z,2026-08-12T00:00:00Z
24,1,110,2026-08-03T14:45:00Z,2026-08-12T00:00:00Z
25,1,110,2026-08-06T15:15:00Z,2026-08-12T00:00:00Z
26,2,201,2026-07-01T16:45:00Z,2026-08-12T00:00:00Z
27,2,201,2026-07-04T08:15:00Z,2026-08-12T00:00:00Z
28,2,202,2026-07-07T09:45:00Z,2026-08-12T00:00:00Z
29,2,202,2026-07-10T10:15:00Z,2026-08-12T00:00:00Z
30,2,202,2026-07-13T11:45:00Z,2026-08-12T00:00:00Z
31,2,203,2026-07-16T12:15:00Z,2026-08-12T00:00:00Z
32,2,203,2026-07-19T13:45:00Z,2026-08-12T00:00:00Z
